artist,firstName,gender,itemInSession,lastName,length,level,location,sessionId,song,userId,user
A Fine Frenzy,Anabelle,F,0,Simpson,267.91138,free,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",256,Almost Lover (Album Version),69,Anabelle Simpson
Nirvana,Aleena,F,0,Kirby,214.77832,paid,"Waterloo-Cedar Falls, IA",237,Serve The Servants,44,Aleena Kirby
Television,Aleena,F,1,Kirby,238.49751,paid,"Waterloo-Cedar Falls, IA",237,See No Evil  (Remastered LP Version),44,Aleena Kirby
JOHN COLTRANE,Aleena,F,2,Kirby,346.43546000000003,paid,"Waterloo-Cedar Falls, IA",237,Blues To Bechet (LP Version),44,Aleena Kirby
NOFX,Aleena,F,3,Kirby,80.79628000000001,paid,"Waterloo-Cedar Falls, IA",237,It's My Job To Keep Punk Rock Elite,44,Aleena Kirby
The Backyardigans,Aleena,F,4,Kirby,158.85016000000002,paid,"Waterloo-Cedar Falls, IA",237,Into The Thick Of It!,44,Aleena Kirby
Bruce Springsteen,Aleena,F,5,Kirby,202.84036,paid,"Waterloo-Cedar Falls, IA",237,Radio Nowhere,44,Aleena Kirby
Maroon 5,Aleena,F,6,Kirby,173.66159,paid,"Waterloo-Cedar Falls, IA",237,Harder To Breathe,44,Aleena Kirby
Two Door Cinema Club,Aleena,F,7,Kirby,189.67465,paid,"Waterloo-Cedar Falls, IA",237,What You Know,44,Aleena Kirby
Five Finger Death Punch,Aleena,F,8,Kirby,262.81751,paid,"Waterloo-Cedar Falls, IA",237,Meet the Monster,44,Aleena Kirby
Josh Turner,Aleena,F,9,Kirby,207.93424,paid,"Waterloo-Cedar Falls, IA",237,What It Ain't,44,Aleena Kirby
At The Drive-In,Aleena,F,10,Kirby,207.46403999999998,paid,"Waterloo-Cedar Falls, IA",237,Sleepwalk Capsules,44,Aleena Kirby
Animal Collective,Aleena,F,11,Kirby,269.81832,paid,"Waterloo-Cedar Falls, IA",237,Summertime Clothes,44,Aleena Kirby
Ron Carter,Aleena,F,12,Kirby,497.13587,paid,"Waterloo-Cedar Falls, IA",237,I CAN'T GET STARTED,44,Aleena Kirby
Old 97's,Aleena,F,13,Kirby,231.28771,paid,"Waterloo-Cedar Falls, IA",237,Victoria (LP Version),44,Aleena Kirby
Cyndi Lauper,Aleena,F,14,Kirby,226.32443999999998,paid,"Waterloo-Cedar Falls, IA",237,True Colors,44,Aleena Kirby
Damien Rice,Aleena,F,15,Kirby,276.08771,paid,"Waterloo-Cedar Falls, IA",237,Amie,44,Aleena Kirby
Alicia Keys,Aleena,F,16,Kirby,229.0673,paid,"Waterloo-Cedar Falls, IA",237,If I Ain't Got You,44,Aleena Kirby
Lloyd Cole And The Commotions,Aleena,F,17,Kirby,235.31057,paid,"Waterloo-Cedar Falls, IA",237,Charlotte Street,44,Aleena Kirby
John Mayer,Aleena,F,18,Kirby,269.71383,paid,"Waterloo-Cedar Falls, IA",237,Heartbreak Warfare,44,Aleena Kirby
Joshua Radin,Aleena,F,19,Kirby,161.69751000000002,paid,"Waterloo-Cedar Falls, IA",237,We Are Okay,44,Aleena Kirby
Kings Of Leon,Aleena,F,20,Kirby,201.79546000000002,paid,"Waterloo-Cedar Falls, IA",237,Revelry,44,Aleena Kirby
Incubus,Aleena,F,21,Kirby,257.25342,paid,"Waterloo-Cedar Falls, IA",237,Dig,44,Aleena Kirby
Owl City,Aleena,F,22,Kirby,190.17098000000001,paid,"Waterloo-Cedar Falls, IA",237,Tidal Wave,44,Aleena Kirby
Mediaeval Baebes,Aleena,F,23,Kirby,219.29751000000002,paid,"Waterloo-Cedar Falls, IA",237,MÃÂ¤rk Hure VÃÂ¥r Skugga,44,Aleena Kirby
The Black Keys,Theodore,M,0,Smith,300.30322,free,"Houston-The Woodlands-Sugar Land, TX",226,The Only One,52,Theodore Smith
